web_scraper_order,web_scraper_start_url,lien_detail,Details,Prix,Adresse,Image_lien
"1767368483-197","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/voyageurs-a-manteaux-2742963","Souche importée très propre","30 000 CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_2742963_uploaded_image1_1604666266.jpg"
"1767368521-198","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/metisses-boulan-mondain-2747317","Métisses boulan et mondain à vendre 25000 le paire","25 000 CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_2747317_uploaded_image1_1604842927.jpg"
"1767368526-199","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-2753197","Je vends ce couple de couleur tres rare a ce prix mentionné.","20 000 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2753197_uploaded_image1_1605050172.jpg"
"1767368563-200","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-nains-2787066","Nous vendons des lapins nains de toutes races  des prix incontournables pour toute information veuillez nous contacter","35 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2787066_uploaded_image1_1606316714.jpg"
"1767368566-201","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-texans-2813598","Deux couples texans importés année 2020","75 000 CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_2813598_uploaded_image1_1607288329.jpg"
"1767368568-202","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/male-cochin-cailloute-2824883","Male cochin caïllouté de 6 mois  à vendre","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2824883_uploaded_image1_1607700865.jpg"
"1767368571-203","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-mondain-2838626","Jeune paire de couple mondain à vendre prix cadeau","Prix sur demande","Rufisque, Sénégal","https://images.coinafrique.com/thumb_2838626_uploaded_image1_1608276056.jpg"
"1767368573-204","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/ufs-a-couver-2849328","Bonjour je vends des oeufs a couver
de chaires 
de pondeuses 
de bleu et rouget et sussex
de canard 
de brahman 
de pintade 
de dinde","115 000 CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_2849328_uploaded_image1_1608745484.jpg"
"1767368576-205","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-cochin-blanc-2850705","","35 000 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_2850705_uploaded_image1_1608816820.jpg"
"1767368589-206","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-2853881","Des pigeon a vendre par commande","Prix sur demande","Bargny, Sénégal","https://images.coinafrique.com/thumb_2853881_uploaded_image1_1609011772.jpg"
"1767368591-207","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-2880530","Poulets","2 500 CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_2880530_uploaded_image1_1610226236.jpg"
"1767368594-208","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/dindes-et-poulets-de-chair-2886105","Dindes et poulets de chair","Prix sur demande","Mbour, Sénégal","https://images.coinafrique.com/thumb_2886105_uploaded_image1_1610468092.jpg"
"1767368597-209","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/cochin-cailloute-2899128","Couple cochin caïllouté à ceder de sang pur","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2899128_uploaded_image1_1611044213.jpg"
"1767368600-210","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-cochin-2907921","Deux femelle cochin l'unité a 40000","40 000 CFA","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_2907921_uploaded_image1_1611416785.jpg"
"1767368602-211","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-brahma-2917717","","35 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2917717_uploaded_image1_1611862617.jpg"
"1767368605-212","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-brahma-blanc-2917722","","35 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2917722_uploaded_image1_1611862785.jpg"
"1767368607-213","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-brahma-blanc-2917728","","30 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2917728_uploaded_image1_1611862925.jpg"
"1767368610-214","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-karavaty-chinoise-2921677","Karavaty chinoise pair","15 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2921677_uploaded_image1_1612093526.jpg"
"1767368613-215","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/paire-pigeon-romain-2921690","Pigeon romain pair","80 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2921690_uploaded_image1_1612093907.jpg"
"1767368615-216","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/paire-pigeon-coschoi-2921695","","70 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2921695_uploaded_image1_1612094191.jpg"
"1767368618-217","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/paire-pigeon-boulons-2921717","","50 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2921717_uploaded_image1_1612095131.jpg"
"1767368620-218","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-2921773","Jeune mâle","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2921773_uploaded_image1_1612098138.jpg"
"1767368623-219","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-laor-2921831","Pigeon Laor","40 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2921831_uploaded_image1_1612100375.jpg"
"1767368626-220","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-lahore-2921833","Pigeon Lahore","40 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2921833_uploaded_image1_1612100438.jpg"
"1767368628-221","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-de-chair-2923781","Poulets d chair 
possibilité de livraison","3 000 CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_2923781_uploaded_image1_1612184473.jpg"
"1767368631-222","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-rex-tricolore-2932849","Jeune lapereaux rex tricolore","Prix sur demande","Mbour, Sénégal","https://images.coinafrique.com/thumb_2932849_uploaded_image1_1612486492.jpg"
"1767368634-223","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-2942609","Blanc unique","30 000 CFA","Joal Fadiouth, Sénégal","https://images.coinafrique.com/thumb_2942609_uploaded_image1_1612913202.jpg"
"1767368636-224","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-2944254","","40 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_2944254_uploaded_image1_1612982200.jpg"
"1767368639-225","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-brahma-hermine-2949738","","10 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2949738_uploaded_image1_1613229441.jpg"
"1767368642-226","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-brahma-blanc-hermine-2950013","","10 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2950013_uploaded_image1_1613239360.jpg"
"1767368644-227","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-fermiers-2950193","Trio 10000f
couple 7500f
apartir des 14 jours","10 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2950193_uploaded_image1_1613251191.jpg"
"1767368647-228","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-brahman-2950921","Vacciné","3 000 CFA","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_2950921_uploaded_image1_1613311102.jpg"
"1767368650-229","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-cokier-2954851","C'est une pigeon cokier trei mignonne depuis elle accouche des belle pigeon","45 000 CFA","M'bour, Sénégal","https://images.coinafrique.com/thumb_2954851_uploaded_image1_1613494967.jpg"
"1767368653-230","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-2970567","Des lapain engoura et toutes autres race disponible","15 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2970567_uploaded_image1_1614250380.jpg"
"1767368655-231","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-1-jour-2974676","2 eclosion de 10000 poussin chaque semaine disponible a Dakar et partout au senegal","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2974676_uploaded_image1_1614452359.jpg"
"1767368658-232","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-2976666","Poids:  2kg ;2,300kg;2,600kg","2 500 CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2976666_uploaded_image1_1614589003.jpg"
"1767368661-233","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-nain-2979256","Vends lapin nain de 6 mois avec grande cage et enclos. pris 30000 fcfa. contact","30 000 CFA","Ngor, Dakar, Sénégal","https://images.coinafrique.com/thumb_2979256_uploaded_image1_1614674197.jpg"
"1767368663-234","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-angora-2981287","Des laperaux race angora tou blanc

Vente laperaux","15 000 CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_2981287_uploaded_image1_1614727616.jpg"
"1767368666-235","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/brahma-2984079","","12 500 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2984079_uploaded_image1_1614854523.jpg"
"1767368669-236","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/perruches-ondulees-2996669","Des perruches ondulées métissages anglais de couleur jaune et jaune verte.","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_2996669_uploaded_image1_1615474536.jpg"
"1767368672-237","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poules-brahma-3000249","","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_3000249_uploaded_image1_1615655282.jpg"
"1767368674-238","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-pondeuse-3000537","Yeikh niak sujet   700 poulet pondeuses 3500fr par pièce 
à vendre 5 mois de ponte","3 500 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3000537_uploaded_image1_1615668903.jpg"
"1767368677-239","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/oison-de-toulouse-3000848","Des couple d'oison de toulouse
arrivage d'oison de toulouse","Prix sur demande","Mbour, Sénégal","https://images.coinafrique.com/thumb_3000848_uploaded_image1_1615686013.jpg"
"1767368679-240","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/chateau-3005822","Chateau","50 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3005822_uploaded_image1_1615938255.jpg"
"1767368682-241","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/jeune-king-3005849","Jeune king","50 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3005849_uploaded_image1_1615939888.jpg"
"1767368685-242","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/chateau-3005856","","50 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3005856_uploaded_image1_1615940349.jpg"
"1767368687-243","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poules-bleus-hollandais-3009280","Je vente bleus hollandais un lot de dix poules pour un prix de six mile cinq cent franc l'unité (6500 f).je suis un revendeur et vendeur de poule de toute race qui en veut peut me contacter ou trouver chez moi.je fais aussi des poussins  bleus et poule locale.","6 500 CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_3009280_uploaded_image1_1616101333.jpg"
"1767368690-244","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-3010219","vente de poulet de chair.","3 000 CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_3010219_uploaded_image1_1616159454.jpg"
"1767368693-245","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-3011311","","5 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_3011311_uploaded_image2_1616223766.jpeg"
"1767368696-246","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/trio-dindes-rouge-3012683","Trio dindes rouge","130 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3012683_uploaded_image1_1616280245.jpg"
"1767368700-247","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-3017104","","3 000 CFA","Touba, Sénégal","https://images.coinafrique.com/thumb_3017104_uploaded_image1_1616512963.jpg"
"1767368704-248","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-3020570","","3 000 CFA","Touba, Sénégal","https://images.coinafrique.com/thumb_3020570_uploaded_image1_1616677661.jpg"
"1767368706-249","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-3020754","Des poulets de chair à vendre livraison possible","Prix sur demande","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3020754_uploaded_image1_1616682583.jpg"
"1767368709-250","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-de-chair-3020864","Vente des poulets de chair,   livraison possible. des poulets de 2,8k sur pieds 3500f","Prix sur demande","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3020864_uploaded_image1_1616685325.jpg"
"1767368712-251","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-cochin-blanc-3024487","Coq cochin blanc vend","70 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3024487_uploaded_image1_1616866962.jpg"
"1767368716-252","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/cochin-blanche-3025104","Cochin blanche","65 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3025104_uploaded_image1_1616923906.jpg"
"1767368719-253","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-3033406","Pigeon blond rouge","25 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3033406_uploaded_image1_1617293184.jpg"
"1767368722-254","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-angora-metisses-3035970","","15 000 CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_3035970_uploaded_image1_1617382564.jpg"
"1767368725-255","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-3049719","Couples écailles bleu et couples jaune et rouges  bavettè","150 000 CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_3049719_uploaded_image1_1617978714.jpg"
"1767368728-256","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-3052171","Lapereaux de 20 jours livraison payante","20 000 CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3052171_uploaded_image1_1618086163.jpg"
"1767368730-257","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-angora-3055838","","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_3055838_uploaded_image1_1618276360.jpg"
"1767368733-258","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-laor-3058782","","60 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3058782_uploaded_image1_1618401720.jpg"
"1767368736-259","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-chateau-rouge-3063568","","50 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3063568_uploaded_image1_1618595933.jpg"
"1767368742-260","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-lahor-3063589","","30 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3063589_uploaded_image1_1618596539.jpg"
"1767368745-261","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poules-3065835","Client satisfait notre priorité
prix negiciable
good chicken's","3 500 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3065835_uploaded_image1_1618714726.jpg"
"1767368748-262","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-angora-3072438","Lapin de race de 3 mois","20 000 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3072438_uploaded_image2_1619019452.jpeg"
"1767368751-263","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-3076657","Beaute almend","40 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3076657_uploaded_image1_1619200129.jpg"
"1767368754-264","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-3076664","King","60 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3076664_uploaded_image1_1619200352.jpg"
"1767368757-265","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-3076669","Mondin","100 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3076669_uploaded_image1_1619200506.jpg"
"1767368760-266","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-lahor-3076680","","30 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3076680_uploaded_image1_1619200906.jpg"
"1767368763-267","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-3082778","","2 500 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3082778_uploaded_image1_1619528177.jpg"
"1767368766-268","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couples-pigeons-boulant-panarami-reproducteurs-3083820","3couples pigeons boulant panoramè reproducteur disponibles à rufisque","130 000 CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_3083820_uploaded_image1_1619564909.jpg"
"1767368769-269","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-3087144","King blanc confirme","80 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3087144_uploaded_image1_1619723224.jpg"
"1767368773-270","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-couple-fauve-adultes-3089288","Couple fauve adultes","80 000 CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_3089288_uploaded_image1_1619848402.jpg"
"1767368775-271","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-lahore-3090984","Pigeon Lahore rouge male 100%","20 000 CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_3090984_uploaded_image1_1619904750.jpg"
"1767368778-272","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/perruches-arc-en-ciel-3094776","Perruches  producteur  plus  la cage.","40 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_3094776_uploaded_image1_1620059311.jpg"
"1767368781-273","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-kochoi-3099946","Pigeon kochoi","70 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3099946_uploaded_image1_1620258649.jpg"
"1767368784-274","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-3101043","Race sapram","3 500 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_3101043_uploaded_image1_1620309572.jpg"
"1767368786-275","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-mento-3101648","Voyageur mento pur","20 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3101648_uploaded_image1_1620324800.jpg"
"1767368789-276","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-cauchois-3101934","Pigeon cauchois","70 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3101934_uploaded_image1_1620336090.jpg"
"1767368792-277","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-lahore-rouge-3104308","Pigeon Lahore rouge","25 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3104308_uploaded_image1_1620450063.jpg"
"1767368795-278","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-lahore-noir-3104310","Pigeon Lahore","25 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3104310_uploaded_image1_1620450328.jpg"
"1767368798-279","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-3115873","Des lapineaux  disponible 
et des jeunes femelles  et males
a pikine_icotaf","15 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3115873_uploaded_image1_1621043291.jpg"
"1767368800-280","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-3118080","Jeune mondin  blan","80 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3118080_uploaded_image1_1621187860.jpg"
"1767368803-281","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-3121121","","22 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3121121_uploaded_image1_1621343038.jpg"
"1767368806-282","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-3123441","Poulet de chair","3 500 CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_3123441_uploaded_image1_1621440889.jpg"
"1767368809-283","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/colvert-3125526","Je je un couple de colvert de la famille anatidae venant du canada à un prix très abordable","35 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3125526_uploaded_image1_1621532802.jpg"
