web_scraper_order,web_scraper_start_url,Nom,Prix,Adresse,Image_lien
"1767366924-39","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Vache","Prix sur demande","Niaga, Sénégal","https://images.coinafrique.com/thumb_3734952_uploaded_image1_1654795966.jpg"
"1767366924-40","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Oie","65 000CFA","Niaga, Sénégal","https://images.coinafrique.com/thumb_3719072_uploaded_image1_1654007070.jpg"
"1767366924-41","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Perruches ondulées","12 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3693176_uploaded_image1_1652374886.jpg"
"1767366924-42","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Boeuf","Prix sur demande","Niaga, Sénégal","https://images.coinafrique.com/thumb_3691179_uploaded_image1_1652274956.jpg"
"1767366924-43","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Hamster","15 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3689324_uploaded_image1_1652181532.jpg"
"1767366924-44","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Paire colverts de Rouen","15 000CFA","Mboro, Sénégal","https://images.coinafrique.com/thumb_3686752_uploaded_image1_1652029317.jpg"
"1767366924-45","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Chaton Angora","160 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_3681874_uploaded_image1_1651750026.jpg"
"1767366924-46","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Caille","2 000CFA","Sicap foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_3679001_uploaded_image1_1651592167.jpg"
"1767366924-47","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Perroquet grand Haras","Prix sur demande","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3672216_uploaded_image2_1651097217.jpeg"
"1767366924-48","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Chaton siamois","375 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_3671821_uploaded_image1_1651072649.jpg"
